一级类目,一级类目ID,二级类目,二级类目ID,三级类目,三级类目ID,关键词,ID,状态,推荐,来源
母婴,1319,童装,11842,内衣裤,11227,女孩内裤,a906e2e1ea694ae3,启用,普通,品牌词
运动户外,1318,垂钓用品,12147,钓竿,12148,鱼竿,780f980908382573,启用,普通,品牌词
数码,652,数码配件,829,存储卡,845,sd,a40923c1cf6be122,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,壁纸,9932,客厅背景墙,f6cd4ffade38b704,启用,普通,品牌词
美妆个护,1316,身体护理,1383,润肤,1404,全身美白,947e9179bea68688,启用,普通,品牌词
美妆个护,1316,身体护理,1383,美胸,11928,少女丰胸,8e3300b63a5a520a,启用,普通,品牌词
医药保健,9192,营养健康,9193,调节免疫,9201,初乳,caa9163710fb1308,启用,普通,品牌词
家居家纺,1620,家装软饰,11158,墙贴/装饰贴,11965,墙面装饰,1ad3387a0eea3ed0,启用,普通,品牌词
礼品箱包,1672,礼品,2599,创意礼品,5266,礼物,fd87989c9cd665d5,启用,普通,品牌词
电脑、办公,670,办公设备,716,投影机,722,家用投影机,0b13f00a4feaa2cf,启用,普通,品牌词
运动户外,1318,户外装备,1462,极限户外,12145,打鱼机,bc2748f62dc12c90,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,涂刷辅料/胶类,11959,瓷砖美缝剂,06be7ee695f114a0,启用,普通,品牌词
电脑、办公,670,办公设备,716,投影机,722,投影手机,dbf606283be45f44,启用,普通,品牌词
美妆个护,1316,身体护理,1383,精油,13551,精油按摩,0c033afd479eca8a,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,壁纸,9932,3d背景墙,445d05706b7082b7,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,方便食品,2679,牛肉面,2967ec3d933968e8,启用,普通,品牌词
服饰内衣,1315,女装,1343,旗袍/唐装,11986,中式婚纱,a747e4220883aa77,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,秋季女装新款,f337db902ec1f607,启用,普通,品牌词
家装建材,9855,五金工具,9858,测量工具,9923,智能电表,e732a9e865fa5e66,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,全透明内衣,fb937a896581edf9,启用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,透明男士内衣,61cb73c848ad5ce4,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,家庭清洁,1663,空调清洗,3149f8015d263027,启用,普通,品牌词
电脑、办公,670,电脑配件,677,SSD固态硬盘,11303,ssd,98eb3f8cd532d2bb,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,女式胸罩,ac07f93338d4581c,启用,普通,品牌词
生鲜,12218,海鲜水产,12222,虾类,12242,麻辣龙虾,feb7a0245c25c05c,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,透明内裤,dafa1caa3cb51272,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,老年人用品,f2d0f4bfcc0e5707,启用,普通,品牌词
家用电器,737,厨房小电,752,养生壶/煎药壶,12397,养生,0ec0ed6fd47b5e46,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,面,13789,面,b0b46f9170f051c9,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,橱柜,9915,厨房橱柜,7b555739fb616b84,启用,普通,品牌词
钟表,5025,钟表,5026,国表,13674,表,eeaa6fb97cd7887f,启用,普通,品牌词
服饰内衣,1315,女装,1343,连衣裙,9719,韩版女装,3018bf91554dada4,启用,普通,品牌词
美妆个护,1316,身体护理,1383,精油,13551,精油开背,cdf159e268577e20,启用,普通,品牌词
服饰内衣,1315,女装,1343,休闲裤,9717,女装裤子,a21b5227de4fb5c3,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,乳液面霜,1391,去痘印,739fbef9732e8a7e,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,温度计,66f2c531fd5ad73b,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,熟食腊味,13757,酱牛肉,bdd6b3980596b2d0,启用,普通,品牌词
母婴,1319,营养辅食,1524,宝宝零食,12191,磨牙,82bef068b464cfcc,启用,普通,品牌词
家装建材,9855,装饰材料,9861,窗,9940,断桥铝窗,52a9b58359ef054d,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,女人胸罩,4ddbf315113672bf,启用,普通,品牌词
电脑、办公,670,电脑配件,677,组装电脑,11762,电脑配置,c39570e82bebf137,启用,普通,品牌词
玩具乐器,6233,遥控/电动,6235,遥控飞机,6246,直升机,c61412d9c3d17317,启用,普通,品牌词
电脑、办公,670,网络产品,699,网络盒子,11304,电视机顶盒,dfbf5f2ede0377af,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,无肩带内衣,9ba97273b45e21af,启用,普通,品牌词
母婴,1319,童鞋,14941,皮鞋,14946,公主鞋,b0c1c0e6c4e925f3,启用,普通,品牌词
服饰内衣,1315,男装,1342,牛仔裤,9735,男式牛仔裤长裤,47ccbd104f5c0aad,启用,普通,品牌词
运动户外,1318,骑行运动,12115,电动车,12118,四轮电动车,4b8fb42e2b32e8f9,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,车身装饰件,11953,polo车,6409c0901b9f7472,启用,普通,品牌词
家装建材,9855,墙地面材料,9860,涂刷辅料/胶类,11959,瓷砖美缝,21623355f9e7b03f,启用,普通,品牌词
医药保健,9192,计生情趣,9196,润滑液,1504,性润滑油,e211d762a0f8da0e,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,绿植盆栽,12517,室内植物,ddf3ac6fdbbbf7f1,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,苗木,12516,桂花树,8692bd39ab4f4294,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,mm内衣,bd7fdc0c12911a01,启用,普通,品牌词
医药保健,9192,计生情趣,9196,男用延时,12609,延时喷剂,90765410c849e0c8,启用,普通,品牌词
运动户外,1318,健身训练,1463,甩脂机,12858,瘦身,96abbefc17b559c9,启用,普通,品牌词
医药保健,9192,计生情趣,9196,情趣内衣,1506,透明内衣,d6af16681e932df6,启用,普通,品牌词
服饰内衣,1315,女装,1343,牛仔裤,9715,紧身牛仔裤,fd941934c9765c08,启用,普通,品牌词
美妆个护,1316,香水彩妆,1387,套装,1426,淡妆,139130df1d433916,启用,普通,品牌词
数码,652,智能设备,12345,智能家居,12353,摄像头监控,d66d496fe806f5fa,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,高跟鞋,9772,细高跟鞋,ba55bf9894259f71,启用,普通,品牌词
家装建材,9855,装饰材料,9861,吊顶,9937,铝扣板吊顶,5ce8d9841a172114,启用,普通,品牌词
处方药,13314,男科专科用药,13326,补肾壮阳,13330,壮阳,e339b78e90769fc7,启用,普通,品牌词
美妆个护,1316,清洁用品,1625,家庭清洁,1663,除湿,63713eab6a11ea31,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,魔方,14211,二阶魔方,78c1107328db13ad,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,计算器,728,科学计算器,9c471e9047c52ce8,启用,普通,品牌词
服饰内衣,1315,内衣,1345,连裤袜/丝袜,9748,美腿丝袜,2fbce0ee209ba36b,启用,普通,品牌词
家装建材,9855,厨房卫浴,9857,淋浴房,11957,卫生间隔断,9ef40e1fa5e31ed1,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,早教启智,6277,小孩玩具,a3e31df9c12b7124,启用,普通,品牌词
家用电器,737,大 家 电,794,平板电视,798,网络电视,83c774c6b793e571,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,魔方,14211,三阶魔方,2495c52090ed55c7,启用,普通,品牌词
母婴,1319,童鞋,14941,凉鞋,14949,儿童公主高跟鞋,ec1e7497bbc0ef62,启用,普通,品牌词
服饰内衣,1315,女装,1343,衬衫,1354,蝴蝶结上衣,a387d2b746594eed,启用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,红木,383ffd15aaf8801a,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,蜜饯果干,1593,黑加仑,001e62b09a786441,启用,普通,品牌词
珠宝首饰,6144,水晶玛瑙,6172,项链/吊坠,6176,玉髓,3d36e01cef3794ab,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,绿植盆栽,12517,盆栽,ef75e4c931f99301,启用,普通,品牌词
运动户外,1318,运动服饰,12102,套装,9767,运动衣,c8283e85c21a6549,启用,普通,品牌词
运动户外,1318,运动服饰,12102,套装,9767,衣服和裤子,9c9fdbb1f1c27b4e,停用,普通,品牌词
美妆个护,1316,女性护理,1385,脱毛膏,5150,去唇毛,499aca9e8e4a7fe6,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,网布鞋子,d0b9045a3c924647,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,肉干肉脯,1592,鸭掌,5e10e0bc03a835dd,启用,普通,品牌词
酒类,12259,中外名酒,12260,白酒,9435,酒,f534c331b9e3bdad,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,肉干肉脯,1592,麻辣牛肉干,b0f9d84fbc55ff51,启用,普通,品牌词
运动户外,1318,运动服饰,12102,乒羽网服,12106,羽毛球衣,9318855994d2b313,启用,普通,品牌词
运动户外,1318,体育用品,1466,轮滑滑板,12122,滑轮鞋,c554f04307cd4a23,启用,普通,品牌词
运动户外,1318,健身训练,1463,运动护具,1487,乒乓球护具,d37fe13b82b30cae,启用,普通,品牌词
玩具乐器,6233,创意减压,6289,创意玩具,6293,减压小玩具,4df79d8db1770024,启用,普通,品牌词
家具,9847,阳台/户外,9853,花架/装饰架,9890,花架,360d1fea824a5f03,启用,普通,品牌词
厨具,6196,茶具/咖啡具,11143,整套茶具,11148,汝窑茶具,f939b0bc109e0d61,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,男士透气鞋,1cd8d743df0b1230,启用,普通,品牌词
玩具乐器,6233,益智玩具,6271,早教启智,6277,过家家,5ed5b030f0f13697,启用,普通,品牌词
服饰内衣,1315,女装,1343,中老年女装,9721,中老年,f79b9e014562fa67,启用,普通,品牌词
食品饮料,1320,粮油调味,1584,调味品,2677,淡奶油,96404188b92ba026,启用,普通,品牌词
宠物生活,6994,医疗保健,6997,肠胃调理,7013,化毛膏,2142f51e8b70e8da,启用,普通,品牌词
玩具乐器,6233,积木拼插,6275,积木,6280,拼装,b357771a0f3369a6,启用,普通,品牌词
家居家纺,1620,生活日用,1624,浴室用品,1657,浴帘,15bc4d42ca5a9360,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,本册/便签,7371,便条纸,ff1916daeb276371,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,书柜,3c81f49bcc0ae59b,启用,普通,品牌词
家具,9847,办公家具,9854,班台/班桌,9894,时尚班台,bf16d93f6c985890,启用,普通,品牌词
数码,652,电子教育,12346,复读机,12356,磁带复读机,696d4208d437b577,启用,普通,品牌词
家用电器,737,厨房小电,752,料理机,755,榨汁机,ccdb9b2f27bd0475,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,本册/便签,7371,N次贴,c69050a280cc9081,启用,普通,品牌词
服饰内衣,1315,男装,1342,休闲裤,9736,工装裤,201231479c544c87,启用,普通,品牌词
汽车用品,6728,美容清洗,6743,补漆笔,9974,汽车喷漆,6067dd9296e8995a,启用,普通,品牌词
酒类,12259,中外名酒,12260,洋酒,9437,梅酒,0a13dc9a0756a0d5,启用,普通,品牌词
家居家纺,1620,家纺,1621,枕芯,1628,蚕丝枕,f2d6844c26ba07b0,启用,普通,品牌词
家用电器,737,生活电器,738,取暖电器,747,电热油汀,b5dfe498d9eea722,启用,普通,品牌词
家具,9847,卧室家具,9848,简易衣柜,9866,组装收纳柜,3553264c395f38d7,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,休闲零食,1590,膨化食品,e1fa0880e8a6b164,启用,普通,品牌词
礼品箱包,1672,功能箱包,2577,书包,5265,学生书包,71fec1dbf5d92c7b,启用,普通,品牌词
珠宝首饰,6144,翡翠玉石,6167,项链/吊坠,6168,项链玉吊坠,a7e2461692fc9585,启用,普通,品牌词
家用电器,737,厨房小电,752,多用途锅,754,烤锅,5cf2957c7903ee5e,启用,普通,品牌词
玩具乐器,6233,乐器,6291,吉他,6299,民谣吉他,8ac86869bd8e1075,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,精华,13546,祛痘精华液,60de0f1e5ab70a1a,启用,普通,品牌词
家装建材,9855,电工电料,9859,电料配件,9930,绝缘套管,56e6633dcc92862e,停用,普通,品牌词
家装建材,9855,五金工具,9858,家用五金,9920,大门拉手,e134dc37d592702f,启用,普通,品牌词
家具,9847,办公家具,9854,班台/班桌,9894,班台,dd370f6e4ddcbbb5,启用,普通,品牌词
玩具乐器,6233,乐器,6291,西洋管弦,6301,萨克斯,6e9a74926e371870,启用,普通,品牌词
电脑、办公,670,办公设备,716,打印机,717,打票机,6d4b40ccd064f44b,启用,普通,品牌词
电脑、办公,670,文具/耗材,729,文件管理,4840,文件袋,760cc9d22615fe9a,启用,普通,品牌词
家装建材,9855,五金工具,9858,机械锁,9919,门锁,47e9278508f98229,启用,普通,品牌词
厨具,6196,茶具/咖啡具,11143,茶杯,11149,紫砂杯,abac3b262e0bd504,启用,普通,品牌词
服饰内衣,1315,内衣,1345,女式内裤,9743,低腰内裤,d66ed49465ff8260,启用,普通,品牌词
服饰内衣,1315,内衣,1345,睡衣/家居服,1371,长袖睡裙,3c1b2505207dec9c,启用,普通,品牌词
家具,9847,办公家具,9854,班台/班桌,9894,班台老板桌,d5ccc4265c6c5444,启用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,布艺沙发,2cf4221fd04283c0,启用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,贵妃椅沙发,4b90e7cdf4e8b3b0,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,脚垫,11883,绒面,f3d0831aebc0a14d,启用,普通,品牌词
家用电器,737,厨卫大电,13297,电热水器,13690,空气源热泵,23c27043a3dcef50,启用,普通,品牌词
家具,9847,卧室家具,9848,床垫,9864,健康环保床垫,7973839078b8674e,启用,普通,品牌词
家具,9847,卧室家具,9848,斗柜,9867,白色斗柜,39b64b523c19c7ef,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,肉干肉脯,1592,鸭脖子,78fa094996685382,启用,普通,品牌词
酒类,12259,中外名酒,12260,啤酒,9439,黑啤,1be89fd6a98d445d,启用,普通,品牌词
宠物生活,6994,水族,13968,造景装饰,13975,沉木,cbd1b75f4da0d379,启用,普通,品牌词
服饰内衣,1315,女装,1343,毛呢大衣,9706,双面呢呢外套,931ebb6109461ea2,启用,普通,品牌词
食品饮料,1320,进口食品,5019,饼干蛋糕,5020,什锦糕,1764b1182f0478a0,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,帆布鞋,9774,懒人鞋女鞋,9523e817f7a5894e,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,隐形文胸贴,afcb3129cfe3278a,启用,普通,品牌词
家装建材,9855,五金工具,9858,测量工具,9923,经纬仪,0e3a298b61f892ba,启用,普通,品牌词
礼品箱包,1672,精品男包,2576,商务公文包,1455,手提包,e209df619f5eb961,启用,普通,品牌词
家用电器,737,个护健康,1276,足浴盆,963,足浴,ec9ab4d4599dafeb,启用,普通,品牌词
家具,9847,储物家具,9852,鞋架/衣帽架,9885,6层收纳柜,e0087fd9a3c65daa,启用,普通,品牌词
农资绿植,12473,花卉绿植,12480,绿植盆栽,12517,盆栽植物,e4e35722f96ca10a,启用,普通,品牌词
食品饮料,1320,地方特产,1581,其他特产,12217,上海特产,fbb9a7c1db9d2b62,启用,普通,品牌词
服饰内衣,1315,内衣,1345,男式内裤,9744,莫代尔内裤,72a595c3bad58761,启用,普通,品牌词
母婴,1319,童装,11842,儿童配饰,3977,儿童围巾,1ec4e14d05e105ed,启用,普通,品牌词
家居家纺,1620,家纺,1621,床品套件,1626,真丝家纺,0efc0e116dc5318d,启用,普通,品牌词
家用电器,737,生活电器,738,净水器,898,滤水壶,ddcbe43aa53db0b5,启用,普通,品牌词
食品饮料,1320,休闲食品,1583,饼干蛋糕,1595,芝麻糖,1a32e71b79ce19df,启用,普通,品牌词
家用电器,737,厨卫大电,13297,油烟机,1300,厨电套装,63e385465667a332,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳箱/盒,13783,收纳箱抽屉柜,56269895bea940ae,启用,普通,品牌词
厨具,6196,水具酒具,6219,保温壶,6224,保温壶,65efa0458fae5992,启用,普通,品牌词
服饰内衣,1315,内衣,1345,文胸,1364,奢华高贵内衣,9b7daeac3d50c8e5,启用,普通,品牌词
汽车用品,6728,汽车装饰,6745,功能小件,11889,环保垃圾箱,f874709a7ed07e93,启用,普通,品牌词
家具,9847,书房家具,9851,书柜/书架,9881,格架,b7db112c055c26a1,启用,普通,品牌词
家用电器,737,个护健康,1276,按摩器,967,海豚按摩器,0f69c8ebc769465b,启用,普通,品牌词
家具,9847,客厅家具,9849,沙发,9870,布艺贵妃椅,17898cd01d7f7506,启用,普通,品牌词
服饰内衣,1315,内衣,1345,睡衣/家居服,1371,春夏睡衣,0b462c5484ff2e6e,启用,普通,品牌词
宠物生活,6994,医疗保健,6997,护肤美毛,7012,海藻粉,40e882fca683d1c9,启用,普通,品牌词
家居家纺,1620,收纳用品,13780,收纳柜,13782,宝宝收纳柜,622291aaa890b5d3,启用,普通,品牌词
汽车用品,6728,维修保养,6742,卤素灯,6768,疝气灯,5324c84ddd2c03bb,启用,普通,品牌词
运动户外,1318,户外鞋服,2628,速干衣裤,12124,户外速干裤子,7889fedd0f4f4316,启用,普通,品牌词
电脑、办公,670,电脑整机,671,笔记本,672,笔记本电脑显卡,71cc61c07976d650,启用,普通,品牌词
医药保健,9192,营养健康,9193,骨骼健康,9202,补钙,3b7d0a0575054efb,启用,普通,品牌词
家具,9847,储物家具,9852,储物/收纳用品,9886,5层收纳柜,30275ab48f91806d,启用,普通,品牌词
家居家纺,1620,家纺,1621,床垫/床褥,1631,褥子,2ecf25152c1a24e4,启用,普通,品牌词
珠宝首饰,6144,时尚饰品,6182,戒指,6190,复古泰银,f96fefcb81b4a517,启用,普通,品牌词
家装建材,9855,灯饰照明,9856,室外/庭院灯,11950,路灯,844f799382728fcb,启用,普通,品牌词
厨具,6196,厨房配件,6214,厨房DIY/小工具,11978,防水围裙,b3565ea6d9cf3722,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,芦荟面膜,ed9df3f73107fb09,启用,普通,品牌词
美妆个护,1316,面部护肤,1381,面膜,1392,男士保湿面膜,59797f080f537845,启用,普通,品牌词
家居家纺,1620,生活日用,1624,缝纫/针织用品,1658,拉链,6fc0eeefc923217b,启用,普通,品牌词
服饰内衣,1315,女装,1343,半身裙,9720,长袖半身裙,a07e7c4b634b0651,启用,普通,品牌词
运动户外,1318,运动鞋包,12099,跑步鞋,9756,男徒步鞋,e852439604156876,启用,普通,品牌词
医药保健,9192,营养健康,9193,骨骼健康,9202,补钙产品,f2a2aadea0b1f3b1,启用,普通,品牌词
服饰内衣,1315,女装,1343,大码女装,9722,长款大码女装,19f80675f1a2a961,启用,普通,品牌词
鞋靴,11729,时尚女鞋,11731,休闲鞋,6916,女士休闲单鞋,92c608ec3d524ada,启用,普通,品牌词
家具,9847,储物家具,9852,鞋架/衣帽架,9885,二层收纳柜,39f32a5ead7e45da,启用,普通,品牌词
服饰内衣,1315,内衣,1345,保暖内衣,1369,棉裤,253a004263607598,停用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,休闲透气男鞋,d05b5108deb7249a,启用,普通,品牌词
鞋靴,11729,流行男鞋,11730,休闲鞋,6908,男鞋英伦休闲皮鞋,1d4f8a7733d27ceb,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,1.8米床,7524d5f4c472fcb8,启用,普通,品牌词
家具,9847,卧室家具,9848,床,9863,中式实木床,772149356502170e,启用,普通,品牌词
家具,9847,卧室家具,9848,衣柜,11972,现代板式衣柜,13f9913a262ca3c7,启用,普通,品牌词
母婴,1319,童车童床,1528,婴儿推车,1563,婴儿小推车,a1beaf19db8a71e2,启用,普通,品牌词
